127.0.0.1 - - [16/May/2019:12:46:58 -0300] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:22 -0300] "GET /OSDEPYM/resources/core/js/popper.min.js HTTP/1.1" 200 21012
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:22 -0300] "GET /OSDEPYM/resources/core/js/jquery.min.js HTTP/1.1" 200 88144
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:22 -0300] "GET /OSDEPYM/resources/core/css/main.css HTTP/1.1" 200 27262
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:22 -0300] "GET /OSDEPYM/resources/core/css/bootstrap.css HTTP/1.1" 200 175543
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:22 -0300] "GET /OSDEPYM/resources/core/css/plan.css HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:22 -0300] "GET /OSDEPYM/resources/core/css/reglamento.css HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:22 -0300] "GET /OSDEPYM/resources/core/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:23 -0300] "GET /OSDEPYM/resources/core/css/autorizacion_upload_file.css HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:23 -0300] "GET /OSDEPYM/resources/core/js/contacto.js HTTP/1.1" 200 1164
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:23 -0300] "GET /OSDEPYM/resources/core/js/autorizacion.js HTTP/1.1" 200 3885
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:23 -0300] "GET /OSDEPYM/resources/core/js/autorizacion_steps.js HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:23 -0300] "GET /OSDEPYM/resources/core/js/autorizacion_upload_file.js HTTP/1.1" 200 2619
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:23 -0300] "GET /OSDEPYM/resources/core/js/popper.min.js.map HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:23 -0300] "GET /OSDEPYM/resources/core/js/bootstrap.min.js.map HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:23 -0300] "GET /OSDEPYM/autorizacion/1 HTTP/1.1" 200 28308
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:24 -0300] "GET /OSDEPYM/resources/core/css/bootstrap.css.map HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:24 -0300] "GET /OSDEPYM/resources/core/img/icons-01.svg HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:24 -0300] "GET /OSDEPYM/resources/core/img/icons-02.svg HTTP/1.1" 200 4931
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:24 -0300] "GET /OSDEPYM/resources/core/img/icons-03.svg HTTP/1.1" 200 6664
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:24 -0300] "GET /OSDEPYM/resources/core/img/icons-04.svg HTTP/1.1" 200 9545
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:24 -0300] "GET /OSDEPYM/resources/core/img/icons-05.svg HTTP/1.1" 200 6674
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:32 -0300] "POST /OSDEPYM/autorizacion/getPrestaciones HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [16/May/2019:12:47:36 -0300] "POST /OSDEPYM/autorizacion/getDocumentos HTTP/1.1" 200 76
